Placa,,Franzino,
,,,
Referência,Componente,quantidade,Valor
C1,10uF X 50V,1,
C2,10uF X 50V,1,
C3,100nF SMD 0805,1,
C4,22pF,1,
C5,22pF,1,
C6,100nF SMD 0805,1,
C7,100nF SMD 0806,1,
C8,100nF SMD 0807,1,
C9,100nF SMD 0808,1,
CN1,Barra de pinos 7 vias 90°,1,
D1,1n4007,1,
IC1,Soquete 28 pinos,1,
IC2,Regulador 7805,1,
J1,mini header simples 40 pinos,1,
JP1,JUMPER FIO 10 mm,1,
JP2,JUMPER FIO 10 mm,1,
JP3,JUMPER FIO 10 mm,1,
JP4,JUMPER FIO 10 mm,1,
JP5,JUMPER FIO 10 mm,1,
JP6,JUMPER FIO 10 mm,1,
L,LED 3 mm VERDE,1,
ON,LED 3 mm Amarelo,1,
P1,"JACK 2,1 mm ",1,
R1,Resistor 10 K 5%,1,
R2,Resistor 1 K 5%,1,
R3,Resistor 1 K 5%,1,
RESET,Chave Tactil 7 mm,1,
X1,Cristal 16 MHz,1,
PCB,Placa de circuito impresso Franzino,1,